,OPERATION_DATE,HOUR_ENDING,INTERVAL_ENDING,TOUTYPE,MARKET,ZONE,PRICE
0,2018-01-01,100,15,OFF-PEAK,Real Time,Load Zone CPS,24.1
1,2018-01-01,100,30,OFF-PEAK,Real Time,Load Zone CPS,23.76
2,2018-01-01,100,45,OFF-PEAK,Real Time,Load Zone CPS,22.87
3,2018-01-01,100,100,OFF-PEAK,Real Time,Load Zone CPS,22.7
4,2018-01-01,200,115,OFF-PEAK,Real Time,Load Zone CPS,22.07
5,2018-01-01,200,130,OFF-PEAK,Real Time,Load Zone CPS,21.87
6,2018-01-01,200,145,OFF-PEAK,Real Time,Load Zone CPS,20.92
7,2018-01-01,200,200,OFF-PEAK,Real Time,Load Zone CPS,21.0
8,2018-01-01,300,215,OFF-PEAK,Real Time,Load Zone CPS,21.11
9,2018-01-01,300,230,OFF-PEAK,Real Time,Load Zone CPS,20.94
10,2018-01-01,300,245,OFF-PEAK,Real Time,Load Zone CPS,20.6
11,2018-01-01,300,300,OFF-PEAK,Real Time,Load Zone CPS,20.29
12,2018-01-01,400,315,OFF-PEAK,Real Time,Load Zone CPS,20.23
13,2018-01-01,400,330,OFF-PEAK,Real Time,Load Zone CPS,20.32
14,2018-01-01,400,345,OFF-PEAK,Real Time,Load Zone CPS,20.26
15,2018-01-01,400,400,OFF-PEAK,Real Time,Load Zone CPS,20.27
16,2018-01-01,500,415,OFF-PEAK,Real Time,Load Zone CPS,20.43
17,2018-01-01,500,430,OFF-PEAK,Real Time,Load Zone CPS,20.21
18,2018-01-01,500,445,OFF-PEAK,Real Time,Load Zone CPS,20.04
19,2018-01-01,500,500,OFF-PEAK,Real Time,Load Zone CPS,19.8
20,2018-01-01,600,515,OFF-PEAK,Real Time,Load Zone CPS,19.8
21,2018-01-01,600,530,OFF-PEAK,Real Time,Load Zone CPS,19.8
22,2018-01-01,600,545,OFF-PEAK,Real Time,Load Zone CPS,19.8
23,2018-01-01,600,600,OFF-PEAK,Real Time,Load Zone CPS,19.77
24,2018-01-01,700,615,PEAKWE,Real Time,Load Zone CPS,19.71
25,2018-01-01,700,630,PEAKWE,Real Time,Load Zone CPS,19.71
26,2018-01-01,700,645,PEAKWE,Real Time,Load Zone CPS,19.72
27,2018-01-01,700,700,PEAKWE,Real Time,Load Zone CPS,19.75
28,2018-01-01,800,715,PEAKWE,Real Time,Load Zone CPS,19.8
29,2018-01-01,800,730,PEAKWE,Real Time,Load Zone CPS,19.78
30,2018-01-01,800,745,PEAKWE,Real Time,Load Zone CPS,19.72
31,2018-01-01,800,800,PEAKWE,Real Time,Load Zone CPS,19.65
32,2018-01-01,900,815,PEAKWE,Real Time,Load Zone CPS,19.44
33,2018-01-01,900,830,PEAKWE,Real Time,Load Zone CPS,19.05
34,2018-01-01,900,845,PEAKWE,Real Time,Load Zone CPS,19.34
35,2018-01-01,900,900,PEAKWE,Real Time,Load Zone CPS,19.22
36,2018-01-01,1000,915,PEAKWE,Real Time,Load Zone CPS,19.24
37,2018-01-01,1000,930,PEAKWE,Real Time,Load Zone CPS,19.85
38,2018-01-01,1000,945,PEAKWE,Real Time,Load Zone CPS,20.18
39,2018-01-01,1000,1000,PEAKWE,Real Time,Load Zone CPS,20.18
40,2018-01-01,1100,1015,PEAKWE,Real Time,Load Zone CPS,20.12
41,2018-01-01,1100,1030,PEAKWE,Real Time,Load Zone CPS,20.33
42,2018-01-01,1100,1045,PEAKWE,Real Time,Load Zone CPS,20.44
43,2018-01-01,1100,1100,PEAKWE,Real Time,Load Zone CPS,20.65
44,2018-01-01,1200,1115,PEAKWE,Real Time,Load Zone CPS,21.06
45,2018-01-01,1200,1130,PEAKWE,Real Time,Load Zone CPS,20.66
46,2018-01-01,1200,1145,PEAKWE,Real Time,Load Zone CPS,20.45
47,2018-01-01,1200,1200,PEAKWE,Real Time,Load Zone CPS,20.2
48,2018-01-01,1300,1215,PEAKWE,Real Time,Load Zone CPS,20.13
49,2018-01-01,1300,1230,PEAKWE,Real Time,Load Zone CPS,19.99
50,2018-01-01,1300,1245,PEAKWE,Real Time,Load Zone CPS,19.9
51,2018-01-01,1300,1300,PEAKWE,Real Time,Load Zone CPS,19.82
52,2018-01-01,1400,1315,PEAKWE,Real Time,Load Zone CPS,19.82
53,2018-01-01,1400,1330,PEAKWE,Real Time,Load Zone CPS,19.8
54,2018-01-01,1400,1345,PEAKWE,Real Time,Load Zone CPS,19.73
55,2018-01-01,1400,1400,PEAKWE,Real Time,Load Zone CPS,19.69
56,2018-01-01,1500,1415,PEAKWE,Real Time,Load Zone CPS,19.6
57,2018-01-01,1500,1430,PEAKWE,Real Time,Load Zone CPS,19.59
58,2018-01-01,1500,1445,PEAKWE,Real Time,Load Zone CPS,19.54
59,2018-01-01,1500,1500,PEAKWE,Real Time,Load Zone CPS,19.51
60,2018-01-01,1600,1515,PEAKWE,Real Time,Load Zone CPS,19.41
61,2018-01-01,1600,1530,PEAKWE,Real Time,Load Zone CPS,19.55
62,2018-01-01,1600,1545,PEAKWE,Real Time,Load Zone CPS,19.57
63,2018-01-01,1600,1600,PEAKWE,Real Time,Load Zone CPS,19.02
64,2018-01-01,1700,1615,PEAKWE,Real Time,Load Zone CPS,19.23
65,2018-01-01,1700,1630,PEAKWE,Real Time,Load Zone CPS,19.5
66,2018-01-01,1700,1645,PEAKWE,Real Time,Load Zone CPS,19.48
67,2018-01-01,1700,1700,PEAKWE,Real Time,Load Zone CPS,19.64
68,2018-01-01,1800,1715,PEAKWE,Real Time,Load Zone CPS,19.73
69,2018-01-01,1800,1730,PEAKWE,Real Time,Load Zone CPS,19.91
70,2018-01-01,1800,1745,PEAKWE,Real Time,Load Zone CPS,20.2
71,2018-01-01,1800,1800,PEAKWE,Real Time,Load Zone CPS,20.6
72,2018-01-01,1900,1815,PEAKWE,Real Time,Load Zone CPS,20.61
73,2018-01-01,1900,1830,PEAKWE,Real Time,Load Zone CPS,20.09
74,2018-01-01,1900,1845,PEAKWE,Real Time,Load Zone CPS,19.83
75,2018-01-01,1900,1900,PEAKWE,Real Time,Load Zone CPS,19.69
76,2018-01-01,2000,1915,PEAKWE,Real Time,Load Zone CPS,19.63
77,2018-01-01,2000,1930,PEAKWE,Real Time,Load Zone CPS,19.59
78,2018-01-01,2000,1945,PEAKWE,Real Time,Load Zone CPS,19.48
79,2018-01-01,2000,2000,PEAKWE,Real Time,Load Zone CPS,19.05
80,2018-01-01,2100,2015,PEAKWE,Real Time,Load Zone CPS,19.37
81,2018-01-01,2100,2030,PEAKWE,Real Time,Load Zone CPS,19.41
82,2018-01-01,2100,2045,PEAKWE,Real Time,Load Zone CPS,18.86
83,2018-01-01,2100,2100,PEAKWE,Real Time,Load Zone CPS,18.25
84,2018-01-01,2200,2115,PEAKWE,Real Time,Load Zone CPS,18.06
85,2018-01-01,2200,2130,PEAKWE,Real Time,Load Zone CPS,18.48
86,2018-01-01,2200,2145,PEAKWE,Real Time,Load Zone CPS,18.32
87,2018-01-01,2200,2200,PEAKWE,Real Time,Load Zone CPS,18.1
88,2018-01-01,2300,2215,OFF-PEAK,Real Time,Load Zone CPS,18.54
89,2018-01-01,2300,2230,OFF-PEAK,Real Time,Load Zone CPS,16.96
90,2018-01-01,2300,2245,OFF-PEAK,Real Time,Load Zone CPS,2.18
91,2018-01-01,2300,2300,OFF-PEAK,Real Time,Load Zone CPS,3.79
92,2018-01-01,2400,2315,OFF-PEAK,Real Time,Load Zone CPS,16.8
93,2018-01-01,2400,2330,OFF-PEAK,Real Time,Load Zone CPS,0.57
94,2018-01-01,2400,2345,OFF-PEAK,Real Time,Load Zone CPS,0.0
95,2018-01-01,2400,2400,OFF-PEAK,Real Time,Load Zone CPS,7.26
96,2018-01-02,100,15,OFF-PEAK,Real Time,Load Zone CPS,17.01
97,2018-01-02,100,30,OFF-PEAK,Real Time,Load Zone CPS,18.3
98,2018-01-02,100,45,OFF-PEAK,Real Time,Load Zone CPS,17.59
99,2018-01-02,100,100,OFF-PEAK,Real Time,Load Zone CPS,17.2
100,2018-01-02,200,115,OFF-PEAK,Real Time,Load Zone CPS,16.82
101,2018-01-02,200,130,OFF-PEAK,Real Time,Load Zone CPS,17.02
102,2018-01-02,200,145,OFF-PEAK,Real Time,Load Zone CPS,16.5
103,2018-01-02,200,200,OFF-PEAK,Real Time,Load Zone CPS,16.84
104,2018-01-02,300,215,OFF-PEAK,Real Time,Load Zone CPS,16.83
105,2018-01-02,300,230,OFF-PEAK,Real Time,Load Zone CPS,17.11
106,2018-01-02,300,245,OFF-PEAK,Real Time,Load Zone CPS,17.31
107,2018-01-02,300,300,OFF-PEAK,Real Time,Load Zone CPS,16.39
