inc_id,cre_dttm,restore_dttm,affected_cust
2005402950,2017-09-10 18:05:32,2017-09-12 09:27:47,3031
2005403236,2017-09-10 18:12:39,2017-09-11 19:52:29,3348
2005404811,2017-09-10 18:20:36,2017-09-11 18:44:52,506
2005408567,2017-09-10 18:25:58,2017-09-15 07:34:00,110
2005404713,2017-09-10 18:32:14,2017-09-11 20:30:50,1891
2005401468,2017-09-10 18:40:08,2017-09-10 19:32:50,764
2005403521,2017-09-10 18:44:36,2017-09-12 20:21:26,2269
2005405662,2017-09-10 18:53:44,2017-09-12 14:51:55,3130
2005403437,2017-09-10 18:57:22,2017-09-14 20:51:14,1559
2005404983,2017-09-10 18:57:25,2017-09-16 06:50:19,420
2005402740,2017-09-10 18:57:55,2017-09-16 16:11:36,426
2005403504,2017-09-10 18:58:46,2017-09-15 19:09:13,4713
2005404240,2017-09-10 19:24:21,2017-09-12 06:00:27,2059
2005404011,2017-09-10 19:29:11,2017-09-15 13:30:18,125
2005401578,2017-09-10 19:33:37,2017-09-15 17:20:32,284
2005419192,2017-09-10 19:43:39,2017-09-15 13:08:17,1240
2005401618,2017-09-10 19:43:52,2017-09-12 20:19:41,1676
2005401639,2017-09-10 19:44:17,2017-09-12 16:26:25,370
2005404922,2017-09-10 19:46:16,2017-09-11 20:08:58,4570
2005402838,2017-09-10 19:48:09,2017-09-12 14:07:19,52
2005403663,2017-09-10 20:04:07,2017-09-12 05:56:27,83
2005403689,2017-09-10 20:09:04,2017-09-11 21:30:09,2491
2005403005,2017-09-10 20:12:23,2017-09-11 13:18:53,2063
2005404234,2017-09-10 20:15:52,2017-09-11 10:24:58,2041
2005403183,2017-09-10 20:22:37,2017-09-12 23:39:21,1635
2005420319,2017-09-10 20:23:52,2017-09-14 20:03:46,642
2005401915,2017-09-10 20:32:13,2017-09-18 20:23:24,4554
2005404684,2017-09-10 20:37:03,2017-09-12 03:33:33,938
2005401876,2017-09-10 20:58:18,2017-09-12 20:26:40,1630
2005403819,2017-09-10 21:08:59,2017-09-12 02:14:48,2379
2005406104,2017-09-10 21:10:34,2018-02-08 19:28:27,1932
2005407633,2017-09-10 21:16:32,2017-09-14 09:50:09,3148
2005405052,2017-09-10 21:24:42,2017-09-11 15:31:19,5390
2005404216,2017-09-10 21:27:15,2017-09-11 17:33:27,1570
2005403641,2017-09-10 21:34:38,2017-09-12 11:36:33,551
2005404132,2017-09-10 21:41:09,2017-09-12 21:35:56,832
2005402048,2017-09-10 21:43:01,2017-09-15 15:56:06,2761
2005402792,2017-09-10 21:43:40,2017-09-15 16:07:51,306
2005403274,2017-09-10 21:50:04,2017-09-11 19:52:47,1552
2005402077,2017-09-10 21:51:55,2017-09-12 12:06:18,3988
2005402097,2017-09-10 21:57:37,2017-09-15 15:17:20,68
2005404551,2017-09-10 22:01:29,2017-09-15 09:49:57,881
2005402112,2017-09-10 22:02:30,2017-09-14 14:13:24,184
2005403299,2017-09-10 22:02:58,2017-09-16 10:28:24,837
2005404416,2017-09-10 22:05:07,2017-09-11 18:32:22,2576
2005402176,2017-09-10 22:18:14,2017-09-11 15:07:00,764
2005404911,2017-09-10 22:20:04,2017-09-11 03:11:37,1787
2005402195,2017-09-10 22:24:59,2017-09-15 09:01:54,892
2005403706,2017-09-10 22:48:07,2017-09-15 07:37:18,45
2005407820,2017-09-10 22:58:50,2017-09-11 18:30:58,2042
2005426535,2017-09-10 23:00:30,2017-09-15 15:11:21,234
2005402480,2017-09-10 23:03:15,2017-09-11 20:10:11,3001
2005402471,2017-09-10 23:03:58,2017-09-12 19:00:48,23
2005402549,2017-09-10 23:14:20,2017-09-16 16:02:54,49
2005427238,2017-09-10 23:20:24,2017-09-15 15:37:36,12
2005406797,2017-09-10 23:23:17,2017-09-12 10:32:59,3860
2005402613,2017-09-10 23:26:31,2017-09-11 16:35:15,3562
2005402637,2017-09-10 23:31:25,2017-09-11 04:31:09,3289
2005405034,2017-09-10 23:33:06,2017-09-13 11:21:09,134
2005404168,2017-09-10 23:41:18,2017-09-12 03:17:11,1493
2005403238,2017-09-10 23:43:10,2017-09-15 13:34:30,2562
2005405272,2017-09-10 23:53:16,2017-09-13 19:58:59,2764
2005402819,2017-09-10 23:57:02,2017-09-11 08:06:06,3037
2005404402,2017-09-11 00:00:36,2017-09-12 02:23:06,1021
2005402860,2017-09-11 00:05:28,2017-09-15 09:44:35,319
2005402868,2017-09-11 00:06:38,2017-09-11 18:45:57,2018
2005404903,2017-09-11 00:15:47,2017-09-12 19:40:09,3785
2005404815,2017-09-11 00:16:29,2017-09-13 19:03:50,1874
2005403319,2017-09-11 00:39:42,2017-09-11 10:44:28,2005
2005404327,2017-09-11 00:47:35,2017-09-11 12:27:00,5145
2005405093,2017-09-11 00:58:19,2017-09-11 20:32:34,348
